product;coord_x;coord_y;label
Smartphone GSM Desbloqueado Milestone 3. 3G. Android 2.3. C;-4.78614E+016;1.3623E+016;Celular
Smartphone Nokia Lumia 710 Preto Windows Phone 7. 3G. Wi-fi. GPS. C;-4583510000000000;2869740000000000;Celular
Smartphone GSM Desbloqueado P970 Optimus Black. Android 2.2. Wi-fi. A-GPS + 2 Capas Coloridas - LG;-4621300000000000;1979190000000000;Celular
Celular Blu Tattoo Mini Tv. GSM. Rosa. Dual Chip - C;-3.38914E+015;2.24441E+015;Celular
"Celular CCE Motion Plus SM70 Desbloqueado com Dual Chip. Android 4.0. Memória 2GB. Processador 1GHz. Tela 4.3"". 3G/Wi-Fi e Câmera 5MP - Preto";-4002530000000000;1.91944E+016;Celular
Samsung B7320 Omnia Grafite - GSM c/ Wi-Fi. Tecnologia 3G. GPS. Teclado Qwerty. C;-4.17561E+016;2.51596E+016;Celular
Nextel Motorola MOTOROKR i856 Preto c/ Câmera 1.3MP. MP3. Bluetooth. Fone de Ouvido e Cartão 2GB;-543797000000000;2.59334E+016;Celular
Blu Deco Mini Preto e Rosa. Tri Chip. Teclado QWERTY. C;-3301150000000000;2.30642E+016;Celular
Celular Alcatel OT 217. Dual Chip. R;-5647240000000000;-9.1787E+015;Celular
Celular Desbloqueado Motorola MOTOSMART ME XT305 Branco Dual Chip com C;-5972780000000000;2001000000000000;Celular
Celular Desbloqueado Nokia C5-03 Cinza/Preto Symbian c/ C;-3833690000000000;271191000000000;Celular
Smartphone Samsung Galaxy X com Tela Amoled de 4.65. C;-516413000000000;1.40101E+016;Celular
Celular Dual Chip Mirage P3101 TV Port;-3189790000000000;1.92538E+016;Celular
Smartphone LG P500 Roxo - GSM c/ Sistema Operacional Android 2.2. Tecnologia 3G. Wi-Fi. GPS. TouchScreen c/ Tela de 3.2. C;-4659570000000000;2048960000000000;Celular
Celular Samsung Ch@t 335 (S3350) Champagne Gold - C;-263719000000000;1.50791E+016;Celular
Smartphone Desbloqueado LG Optimus Pro C660 Preto Touchscreen Qwerty Android 2.3 3G Wi-Fi Câmera 3.2MP GPS MP3 Player Bluetooth Cartão 2GB;-4554170000000000;1801570000000000;Celular
Celular GSM Desbloqueado Dual Band Nokia C2-06 Cinza. Dual Chip. C;-3.47183E+016;1991370000000000;Celular
Nokia C3 Grafite Desbloqueado Claro com Teclado QWERTY. Wi-fi. C;-3.22976E+016;3.20852E+016;Celular
Samsung Ch@t 335 Preto Desbloqueado Claro. Teclado QWERTY. Teclado QWERTY. MP3 Player. C;-2.90224E+016;1.81424E+016;Celular
Central Pabx Office 416 - Multitoc;2.2618E+016;8807770000000000;Celular
Celular Desbloqueado ZTE G S213 Rosa - Dual Chip. Toque MP3. R;-2433510000000000;2403450000000000;Celular
Celular Desbloqueado Samsung Galaxy Mini Preto/Verde Android 2.2. Wi-Fi. 3G. C;-4161390000000000;1.10708E+015;Celular
Celular Desbloqueado TIM Nokia C2-01 Preto c/ C;-3.72898E+016;3.06185E+016;Celular
"Celular Freecel Free Vision Dual-Chip Tela 2"" - Bluetooth Rádio FM MP3 Player Viva-Voz";-2.86246E+016;1.04689E+016;Celular
Smartphone GSM Desbloqueado Lumia 710. Windows Phone. C;-4991770000000000;2.46759E+016;Celular
Celular e Smartphone Motorola EX109 GSM Desbloqueado;-6395610000000000;1.65967E+015;Celular
CEL. SEMP TOSHIBA CTV35D - GSM - STDN - SEMP TOSHIBA ARMAZ;3.50093E+016;-6538020000000000;Celular
